Movie_Name,Contributors,Budget,Revenue
Good Deeds,"['Tyler Perry', 'Thandie Newton', 'Brian J. White', 'Rebecca Romijn', 'Jamie Kennedy', 'Phylicia Rashad', 'Gabrielle Union']",14000000,35025791
Red Tails,"['Anthony Hemingway', 'George Lucas', '[1]', 'Terrence Howard', 'Cuba Gooding, Jr.']",58,50365377
Chasing Mavericks,"['Curtis Hanson', 'Michael Apted', 'Gerard Butler', 'Jonny Weston', 'Elisabeth Shue', 'Abigail Spencer']",20,8.3
Here Comes the Boom,"['Frank Coraci', 'Allan Loeb', 'Henry Winkler', '[1]', 'Salma Hayek', 'Bas Rutten']",42,73100172
The Guilt Trip,"['Anne Fletcher', 'Dan Fogelman', 'Barbra Streisand', 'Seth Rogen']",40,41030582
The Devil Inside,"['William Brent Bell', 'Simon Quarterman', 'Suzan Crowley']",1,101758490
Marvel's The Avengers,"['Joss Whedon', 'Robert Downey, Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth', 'Scarlett Johansson', 'Jeremy Renner', 'Tom Hiddleston', 'Clark Gregg', 'Cobie Smulders', 'Stellan Skarsgrd', 'Samuel L. Jackson']",220,1.518 billion
A Late Quartet,"['Philip Seymour Hoffman', 'Christopher Walken', 'Catherine Keener']",0,1562546
This Means War,"['McG', 'Reese Witherspoon', 'Chris Pine', 'Tom Hardy', 'Til Schweiger', 'Chelsea Handler']",65,156491279
Not Fade Away,"['David Chase', 'John Magaro', 'Jack Huston', 'Bella Heathcote']",20,610792
The Twilight Saga: Breaking Dawn  Part 2,"['Bill Condon', 'Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Billy Burke', 'Peter Facinelli', 'Elizabeth Reaser', 'Kellan Lutz', 'Nikki Reed', 'Jackson Rathbone', 'Ashley Greene', 'Michael Sheen', 'Dakota Fanning']",120,829685377
Taken 2,"['Olivier Megaton', 'Robert Mark Kamen', 'Liam Neeson', 'Maggie Grace', 'Famke Janssen', 'Leland Orser', 'Jon Gries', 'D.B. Sweeney', 'Luke Grimes', 'Rade erbedija']",45,376141306
Hit and Run,"['Dax Shepard', 'Kristen Bell', 'Kristin Chenoweth', 'Tom Arnold', 'Bradley Cooper']",2,14453354
Best Man Down,"['Justin Long', 'Jess Weixler', 'Tyler Labine', 'Addison Timlin', 'Shelley Long', ""Frances O'Connor""]",0,1938
The Waiting Room,['Peter Nicks'],0,244092
The Man with the Iron Fists,"['RZA', 'Russell Crowe', 'Cung Le', 'Lucy Liu', 'Byron Mann', 'Rick Yune', 'David Bautista', 'Jamie Chung']",20,20.25
The Master,"['Paul Thomas Anderson', 'Joaquin Phoenix', 'Philip Seymour Hoffman', 'Amy Adams', 'Laura Dern']",32,28258060
Anna Karenina,"['Joe Wright', 'Keira Knightley', 'Jude Law', 'Aaron Johnson', 'Kelly Macdonald', 'Matthew Macfadyen', 'Domhnall Gleeson', 'Ruth Wilson', 'Alicia Vikander', 'Olivia Williams', 'Emily Watson']",Budget31,68929150
