Movie_Name,Contributors,Budget,Revenue
Appaloosa,"['Ed Harris', 'Viggo Mortensen', 'Rene Zellweger', 'Jeremy Irons', 'Lance Henriksen']",20,27665851
In the Name of the King: A Dungeon Siege Tale,"['Uwe Boll', 'Jason Statham', 'Leelee Sobieski', 'John Rhys-Davies', 'Ron Perlman', 'Claire Forlani', 'Kristanna Loken', 'Matthew Lillard', 'Ray Liotta', 'Burt Reynolds']",60,13097915
The Day the Earth Stood Still,"['Scott Derrickson', 'Keanu Reeves', 'Jennifer Connelly', 'Jaden Smith', 'Kathy Bates', 'Jon Hamm', 'John Cleese', 'Kyle Chandler']",80,233093859
Fireproof,"['Alex Kendrick', 'Kirk Cameron', 'Erin Bethea', 'Ken Bevel']",500000,33473297
College,"['Drake Bell', 'Kevin Covais', 'Andrew Caldwell', 'Haley Bennett', 'Ryan Pinkston']",7,6265483
The Boy in the Striped Pajamas,"['Mark Herman', 'Asa Butterfield', 'Jack Scanlon', 'David Thewlis', 'Vera Farmiga', 'Amber Beattie']",12.5,40416563
My Best Friend's Girl,"['Howard Deutch', 'Dane Cook', 'Kate Hudson', 'Jason Biggs', 'Diora Baird', 'Alec Baldwin', 'Lizzy Caplan']",20,41622502
Hellboy II: The Golden Army,"['Guillermo del Toro', 'Ron Perlman', 'Selma Blair', 'Doug Jones', 'Jeffrey Tambor', 'John Hurt']",85,160388063
The Family That Preys,"['Tyler Perry', 'Alfre Woodard', 'Kathy Bates', 'Sanaa Lathan', 'Rockmond Dunbar', 'Taraji P. Henson', 'Cole Hauser', 'Robin Givens', 'KaDee Strickland', 'Tyler Perry']",0,37105289
Hamlet 2,"['Andrew Fleming', 'Pam Brady', 'Catherine Keener', 'Amy Poehler', 'David Arquette', 'Elisabeth Shue']",9,4925288
Babylon A.D.,"['Mathieu Kassovitz', 'Vin Diesel', 'Mlanie Thierry', 'Michelle Yeoh', 'Lambert Wilson', 'Mark Strong', 'Jrme Le Banner', 'Charlotte Rampling', 'Grard Depardieu']",70,72108608
How She Move,"['Ian Iqbal Rashid', 'Annmarie Morais', 'Rutina Wesley', 'Dwain Murphy']",17,8533187
Quantum of Solace,"['Marc Forster', 'Paul Haggis', 'Neal Purvis', 'Robert Wade', 'Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Giancarlo Giannini', 'Jeffrey Wright', 'Judi Dench']",200,586090727
Righteous Kill,"['Jon Avnet', 'Russell Gewirtz', 'Robert De Niro', 'Al Pacino', 'Donnie Wahlberg', 'John Leguizamo', '50 Cent', 'Carla Gugino', 'Brian Dennehy']",60,78460699
Be Kind Rewind,[],0,0
The Curious Case of Benjamin Button,"['David Fincher', 'Brad Pitt', 'Cate Blanchett', 'Taraji P. Henson', 'Julia Ormond', 'Jason Flemyng', 'Elias Koteas', 'Tilda Swinton']",150,333932083
Sex Drive,"['Sean Anders', 'Josh Zuckerman', 'Amanda Crew', 'Clark Duke', 'Seth Green', 'James Marsden']",19,18755936
Superior Ultraman 8 Brothers,"['Takeshi Yagi', 'Keiichi Hasegawa', 'Hiroshi Nagano', 'Susumu Kurobe', 'Kohji Moritsugu', 'Jiro Dan', 'Keiji Takamine', 'Takeshi Tsuruno', 'Takeshi Yoshioka', 'Shunji Igarashi']",0,0
Indiana Jones and the Kingdom of the Crystal Skull,"['Steven Spielberg', 'Harrison Ford', 'Shia LaBeouf', 'Karen Allen', 'Cate Blanchett', 'Ray Winstone', 'John Hurt', 'Jim Broadbent']",185,786636033
Forever Strong,"['Ryan Little', 'Sean Faris', 'Gary Cole', 'Penn Badgley', 'Arielle Kebbel', 'Sean Astin', 'Neal McDonough', 'Olesya Rulin']",0,0
Never Forever,"['Gina Kim', 'Gina Kim', 'Vera Farmiga', 'Ha Jung-woo', 'David McInnis']",3.5,687229
