year,Movie_Name,Budget,Contributors,Revenue
1991,The Man in the Moon,109935 (USA),"['Robert Mulligan', 'Jenny Wingfield', 'Sam Waterston', 'Tess Harper', 'Gail Strickland', 'Reese Witherspoon', 'Jason London', 'Emily Warfield']",2853801 (USA)
1991,Sleeping with the Enemy,19,"['Joseph Ruben', '[1]', 'Julia Roberts', 'Patrick Bergin', 'Kevin Anderson']",174999005
1991,Thelma & Louise,16.5,"['Ridley Scott', 'Callie Khouri', 'Susan Sarandon', 'Geena Davis', 'Harvey Keitel', 'Michael Madsen', 'Brad Pitt']",45360915 (North America)
1991,City Slickers,26,"['Ron Underwood', 'Lowell Ganz', 'Babaloo Mandel', 'Bruno Kirby', 'Daniel Stern', 'Patricia Wettig', 'Helen Slater', 'Jack Palance']",179033791
1991,White Fang,14,"['Randal Kleiser', 'Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel']",34793160
1991,Guilty by Suspicion,16,"['Irwin Winkler', 'Robert De Niro', 'Annette Bening', 'George Wendt', 'Sam Wanamaker', 'Martin Scorsese']",9480198
1991,Life Stinks,13000000,"['Mel Brooks', 'Ron Clark', 'Rudy De Luca', 'Steve Haberman', 'Lesley Ann Warren', 'Jeffrey Tambor']",4102526
1991,Highlander II: The Quickening,34,"['Russell Mulcahy', 'Christopher Lambert', 'Sean Connery', 'Virginia Madsen', 'Michael Ironside']",29977980
1991,Cool as Ice,6,"['David Kellogg', 'Vanilla Ice', 'Kristin Minter', 'John Haymes Newton', 'Michael Gross', 'Candy Clark']",1193062
1991,Delirious,18,"['Tom Mankiewicz', 'John Candy', 'Mariel Hemingway', 'Emma Samms', 'David Rasche', 'Charles Rocket', 'Dylan Walsh', 'Jerry Orbach', 'Rene Taylor', 'Raymond Burr']",5546827
1991,Bill & Ted's Bogus Journey,20000000,"['Pete Hewitt', 'Chris Matheson', 'Ed Solomon', 'Keanu Reeves', 'Alex Winter', 'William Sadler', 'Joss Ackland', 'George Carlin']",38037513 (domestic)
1991,Billy Bathgate,48,"['Robert Benton', 'Dustin Hoffman', 'Nicole Kidman', 'Steven Hill', 'Loren Dean', 'Bruce Willis']",15565363
1991,Curly Sue,25,"['John Hughes', 'Jim Belushi', 'Kelly Lynch', 'Alisan Porter']",33691313
1991,The Fisher King,24,"['Terry Gilliam', 'Richard LaGravenese', 'Robin Williams', 'Jeff Bridges']",41895491
1991,The Super,22,"['Rod Daniel', 'Sam Simon', 'Joe Pesci', 'Vincent Gardenia', 'Ruben Blades', 'Madolyn Smith Osborne', 'Stacey Travis', 'Carole Shelley', 'Kenny Blank', 'Steven Rodriguez']",11000863
1991,Pure Luck,17,"['Nadia Tass', 'Francis Veber', 'Herschel Weingrod', 'Timothy Harris', 'Martin Short', 'Danny Glover', 'Sheila Kelly', 'Scott Wilson', 'Harry Shearer']",24941969
1991,Mortal Thoughts,8,"['Alan Rudolph', 'William Reilly', 'Claude Kerven', 'Demi Moore', 'Glenne Headly', 'Bruce Willis', 'John Pankow', 'Harvey Keitel', 'Billie Neal', 'Frank Vincent']",19018321
1991,Harley Davidson and the Marlboro Man,23000000,"['Simon Wincer', 'Don Michael Paul', 'Mickey Rourke', 'Don Johnson', 'Chelsea Field', 'Daniel Baldwin', 'Giancarlo Esposito', 'Tia Carrere', 'Vanessa Williams', 'Tom Sizemore']",7434726 (United States)
1991,Hudson Hawk,65,"['Michael Lehmann', 'Danny Aiello', 'Andie MacDowell', 'James Coburn', 'Sandra Bernhard', 'Richard E. Grant']",17218080 (USA)
1991,Jungle Fever,14000000,"['Spike Lee', 'Wesley Snipes', 'Annabella Sciorra', 'Ossie Davis', 'Ruby Dee', 'Samuel L. Jackson', 'Lonette McKee', 'John Turturro', 'Frank Vincent', 'Anthony Quinn']",43882682
1991,Little Man Tate,10000000,"['Jodie Foster', 'Scott Frank', 'Dianne Wiest', 'Adam Hann-Byrd', 'Harry Connick Jr.']",25010896 (USA)
1991,Star Trek VI: The Undiscovered Country,27,"['Nicholas Meyer', 'See Cast']",96888996
1991,Point Break,24,"['Kathryn Bigelow', 'Patrick Swayze', 'Keanu Reeves', 'Gary Busey', 'Lori Petty', 'John C. McGinley', 'James LeGros']",83531958
1991,Double Impact,15000000 (U. S.),"['Sheldon Lettich', 'Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alan Scarfe', 'Philip Chan', 'Bolo Yeung', 'Corrina Everson']",80039915
1991,Dead Again,15,"['Kenneth Branagh', 'Scott Frank', 'Kenneth Branagh', 'Andy Garca', 'Emma Thompson', 'Lois Hall', 'Richard Easton', 'Jo Anderson', 'Derek Jacobi', 'Robin Williams']",38016380 (US)
1991,Child's Play 3,13,"['Jack Bender', 'Don Mancini', 'Justin Whalin', 'Perrey Reeves', 'Brad Dourif']",20560255
1991,The People Under the Stairs,6,"['Wes Craven', 'Brandon Adams', 'Everett McGill', 'Wendy Robie', 'A. J. Langer', 'Ving Rhames', 'Sean Whalen']",31347154
1991,Cape Fear,35,"['Martin Scorsese', 'Robert De Niro', 'Nick Nolte', 'Juliette Lewis', 'Jessica Lange', 'Joe Don Baker', 'Robert Mitchum', 'Gregory Peck']",182291969
1991,What About Bob?,35,"['Frank Oz', 'Tom Schulman', 'Bill Murray', 'Richard Dreyfuss']",63707829
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25,"['Michael Pressman', 'Paige Turco', 'David Warner']",78656813 (USA)
1991,Beauty and the Beast,25,"['Gary Trousdale', 'Kirk Wise', ""Paige O'Hara"", 'Robby Benson', 'Richard White', 'Jerry Orbach', 'David Ogden Stiers', 'Angela Lansbury', 'Bradley Pierce', 'Rex Everhart', 'Jesse Corti']",425
1991,The Doors,38,"['Oliver Stone', 'J. Randall Johnson', 'Val Kilmer', 'Meg Ryan', 'Kyle MacLachlan', 'Frank Whaley', 'Kevin Dillon', 'Kathleen Quinlan', 'Billy Idol', 'Josh Evans']",34416893
1991,Boyz n the Hood,6.5,"['John Singleton', 'Ice Cube', 'Cuba Gooding, Jr.', 'Morris Chestnut', 'Larry Fishburne']",57.5
1991,City of Hope,3,"['John Sayles', 'Vincent Spano', 'Chris Cooper']",1.3  (US).
1991,F/X2,16400000,"['Richard Franklin', 'Bill Condon', 'Bryan Brown', 'Brian Dennehy', 'Rachel Ticotin', 'Joanna Gleason', 'Philip Bosco']",21082165
1991,Dying Young,26,"['Joel Schumacher', 'Marti Leimbach', 'Julia Roberts', 'Campbell Scott', ""Vincent D'Onofrio"", 'Colleen Dewhurst', 'David Selby']",82264675
1991,The Addams Family,38,"['Barry Sonnenfeld', 'Caroline Thompson', 'Larry Wilson', 'Anjelica Huston', 'Ral Juli', 'Christopher Lloyd']",191502246
1991,The Last Boy Scout,29,"['Tony Scott', 'Bruce Willis', 'Damon Wayans']",59509925
1991,A Kiss Before Dying,27,"['James Dearden', 'Matt Dillon', 'Sean Young', 'Max von Sydow', 'Diane Ladd', 'James Russo']",15429177
1991,Mississippi Masala,8,"['Mira Nair', 'Sooni Taraporevala', 'Denzel Washington', 'Roshan Seth', 'Sarita Choudhury']",7308786
1991,Deceived,30,"['Damian Harris', 'Mary Agnes Donoghue', 'Bruce Joel Rubin', 'Goldie Hawn', 'John Heard']",28738096
1991,Out for Justice,14000000,"['John Flynn', 'Steven Seagal', 'William Forsythe', 'Jerry Orbach', 'Jo Champa']",39673161
