year,Movie_Name,Budget,Contributors,Revenue
2002,The Truth About Charlie,29000000.0,"Jonathan Demme, Steve Schmidt, Peter Joshua, Jessica Bendinger, Mark Wahlberg, Th,ie Newton, Tim Robbins, Joong-Hoon Park, Ted Levine, Lisa Gay Hamilton, Christine Boisson, Stephen Dillane, Charles Aznavour, Anna Karina, Magali Nol",7093284
2002,Blade II,50000000.0,"Guillermo del Toro, Kris Kristofferson, Ron Perlman, Leonor Varela, Norman Reedus, Luke Goss",155010032
2002,Collateral Damage,85000000.0,"Andrew Davis, David Griffiths, Arnold Schwarzenegger, Elias Koteas, Francesca Neri, Cliff Curtis, John Leguizamo, John Turturro",78382433
2002,Impostor,40000000.0,"Gary Fleder, Gary Sinise, Madeleine Stowe, ""Vincent DOnofrio"", Mekhi Phifer",8145549
2002,Star Wars Episode II: Attack of the Clones,115000000.0,"George Lucas, Ewan McGregor, Hayden Christensen, Natalie Portman, Ian McDiarmid, Samuel L. Jackson, Christopher Lee, Anthony Daniels, Kenny Baker, Frank Oz",649400000.0
2002,Jason X,11000000.0,"Jim Isaac, Todd Farmer, Lexa Doig, Lisa Ryder, Chuck Campbell, Jonathan Potts, Melyssa Ade, Kane Hodder",16951798
2002,Serving Sara,29000000.0,"Reginald Hudlin, Matthew Perry, Elizabeth Hurley, Bruce Campbell",20146150
2002,Stuart Little 2,120000000.0,"Rob Minkoff, Michael J. Fox, Melanie Griffith, Nathan Lane, Geena Davis, Hugh Laurie, Jonathan Lipnicki, James Woods, Steve Zahn",169956806
2002,Femme Fatale,35000000.0,"Brian De Palma, Rebecca Romijn-Stamos, Antonio B,eras, Peter Coyote",16838910
2002,The Rules of Attraction,4000000.0,"Roger Avary, James van der Beek, Shannyn Sossamon, Ian Somerhalder, Jessica Biel, Kip Pardue",11819244
2002,My Big Fat Greek Wedding,5000000.0,"Joel Zwick, Nia Vardalos, Nia Vardalos, John Corbett, Lainie Kazan, Michael Constantine",368744044
2002,Death to Smoochy,50000000.0,"Danny DeVito, Adam Resnick, Robin Williams, Edward Norton, Catherine Keener, Jon Stewart",8382938
2002,The Adventures of Pluto Nash,100000000.0,"Ron Underwood, Neil Cuthbert, Eddie Murphy, R,y Quaid, Rosario Dawson, Joe Pantoliano, Jay Mohr, Luis Guzmn, James Rebhorn, Peter Boyle, Pam Grier, Burt Young, John Cleese",7103973
2002,Undisputed,20000000.0,"Walter Hill, David Giler, Wesley Snipes, Ving Rhames, Peter Falk, Michael Rooker, TRU, Jon Seda, Wes Studi",15220548
2002,Showtime,85000000.0,"Tom Dey, Jorge Saralegui, Keith Sharon, Robert De Niro, Eddie Murphy, Rene Russo, William Shatner",77741732
2002,Bad Company,70000000.0,"Joel Schumacher, Anthony Hopkins, Chris Rock, Kerry Washington",65977295
2002,Divine Secrets of the Ya-Ya Sisterhood,27000000.0,"Callie Khouri, Ellen Burstyn, S,ra Bullock, Ashley Judd, Fionnula Flanagan, James Garner, Maggie Smith, Shirley Knight",73839240
2002,All About the Benjamins,15000000.0,"Kevin Bray, Ronald Lang, Mike Epps, Eva Mendes, Tommy Flanagan, Carmen Chaplin, Valarie Rae Miller, Roger Guenveur Smith, Anthony Michael Hall, ""Lil Bow Wow""",26306533
2002,Drumline,20000000.0,"Charles Stone III, Nick Cannon, Zo Saldaa, Orl,o Jones, Leonard Roberts",57588485
2002,Murder by Numbers,50000000.0,"Barbet Schroeder, Tony Gayton, S,ra Bullock, Ben Chaplin, Ryan Gosling, Michael Pitt",56714147
2002,40 Days and 40 Nights,17000000.0,"Michael Lehmann, Josh Hartnett, Shannyn Sossamon, Paulo Costanzo, Maggie Gyllenhaal, Vinessa Shaw, Keegan Connor Tracy",95146283
2002,Road to Perdition,80000000.0,"Sam Mendes, Tom Hanks, Paul Newman, Jude Law, Jennifer Jason Leigh, Stanley Tucci, Daniel Craig",181000000.0
2002,Panic Room,48000000.0,"David Fincher, Jodie Foster, Forest Whitaker, Dwight Yoakam, Jared Leto, Kristen Stewart",196400000.0
2002,The Sum of All Fears,68000000,"Phil Alden Robinson, Ben Affleck, Morgan Freeman, James Cromwell, Liev Schreiber, Alan Bates, Philip Baker Hall, Ron Rifkin, Bruce McGill",193921372
2002,Treasure Planet,140000000.0,"Ron Clements, John Musker, Joseph Gordon-Levitt, Brian Murray, Emma Thompson, David Hyde Pierce, Martin Short, Michael Wincott, Laurie Metcalf, Roscoe Lee Browne",109600000.0
2002,Ghost Ship,20000000.0,"Steve Beck, Mark Hanlon, Gabriel Byrne, Julianna Margulies, Ron Eldard, Desmond Harrington, Isaiah Washington",68349884
2002,K-19: The Widowmaker,100000000.0,"Kathryn Bigelow, Harrison Ford, Liam Neeson, Peter Sarsgaard",65716126
2002,Die Another Day,142000000.0,"Lee Tamahori, Neal Purvis, Robert Wade, Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike, Rick Yune, John Cleese, Judi Dench",431971116
2002,Unfaithful,50000000.0,"Adrian Lyne, Claude Chabrol, Alvin Sargent, William Broyles Jr., Richard Gere, Diane Lane, Olivier Martinez, Erik Per Sullivan",119137784
2002,Spirit: Stallion of the Cimarron,80000000.0,"Kelly Asbury, John Fusco, Matt Damon, James Cromwell",122563539
2002,One Hour Photo,12000000.0,"Mark Romanek, Robin Williams, Connie Nielsen, Michael Vartan, Gary Cole, Eriq La Salle",52223306
2002,Minority Report,102000000.0,"Steven Spielberg, Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow",358372926
2002,Two Weeks Notice,60000000.0,"Marc Lawrence, Hugh Grant",199043242
2002,Signs,72000000.0,"M. Night Shyamalan, Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin",408247917
2002,Crossroads,12000000.0,"Tamra Davis, Shonda Rhimes, Britney Spears, Anson Mount, Zoe Saldana, Taryn Manning, Kim Cattrall, Dan Aykroyd",61141030
2002,About a Boy,30000000.0,"Chris Weitz, Paul Weitz, Hugh Grant, Toni Collette, Rachel Weisz",130549455
2002,Ballistic: Ecks vs. Sever,70000000.0,"Kaos, Alan B. McElroy, Antonio B,eras, Lucy Liu, Gregg Henry, Ray Park, Talisa Soto, Terry Chen",19924033
2002,Solaris,47000000.0,"Steven Soderbergh, George Clooney, Natascha McElhone, Viola Davis, Jeremy Davies, Ulrich Tukur",30002758
